Pin_Code,Neighborhood,Latitude,Longitude
560001,"Bangalore Bazaar,Bangalore.,Brigade Road,Cubban Road,Dr. ambedkar veedhi,Highcourt,Legislators Home,Mahatma Gandhi road,Narayan Pillai street,Rajbhavan,Vidhana Soudha",12.977776, 77.599500
560002,"Avenue Road,Bangalore City,Bangalore Corporation building,Bangalore Fort,Basavaraja Market,Cahmrajendrapet,Narasimjharaja Road,New Tharaggupet,Sri Jayachamarajendra road",12.963811, 77.582112
560003,"Aranya Bhavan,Malleswaram,Palace Guttahalli,Swimming Pool extn,Venkatarangapura,Vyalikaval Extn",13.002018, 77.571651
560004,"Basavanagudi,Lalbagh West,Mavalli,Pasmpamahakavi Road,Shankarpura,Visveswarapuram",12.943886, 77.573945
560005,"Fraser Town,Jeevanahalli",12.998097, 77.622781
560006,"J.C.nagar,Training Command iaf",13.014232, 77.587921
560007,"Agram,Air Force hospital",12.958346, 77.630860
560008,"H.A.l ii stage,Hulsur Bazaar,Someswarapura",12.982968, 77.626101
560009,"Bangalore Dist offices bldg,K. g. road,Subhashnagar",12.977271, 77.577296
560010,"Bhashyam Circle,Industrial Estate,Rajajinagar,Rajajinagar I block,Rajajinagar Ivth block",12.985411, 77.553435
560011,"Jayangar Iii block,Madhavan Park",12.933897, 77.590048
560012,Science Institute,13.014274, 77.565752
560013,"Govindapalya,H M t,Jalahalli,Jalahalli Village",13.050740, 77.552884
560014,Jalahalli East,13.073997, 77.546146
560015,"Jalahalli West,Kamagondanahalli",13.062747, 77.528513
560016,"Doorvaninagar,Krishnarajapuram R s,Ramamurthy Nagar",13.017800, 77.680541
560017,"Bangalore Air port,Nal,Vimapura",12.9525894,77.6585956
560018,"Chamrajpet,Chamrajpet Bazar,Vittalnagar",12.9587012,77.5599223
560019,"Gaviopuram Extension,Gaviopuram Guttanahalli,Narasimharaja Colony",12.9469352,77.557021
560020,"K.P.west,Seshadripuram",12.9907521,77.5725191
560021,"Gayathrinagar,Okalipuram,Ramachandrapuram,Srirampuram",12.9930926,77.5527669
560022,"Goraguntepalya,Yeshwanthpur Bazar",13.0296405,77.5370946
560023,Magadi Road,12.9736705,77.5530185
560024,"Anandnagar,H.A. farm,Hebbal Kempapura",13.0410047,77.5903296
560025,"Bangalore Sub fgn post,Cmp Centre and school,Museum Road,Richmond Town",12.9627929,77.5993229
560026,"Avalahalli,Bapujinagar,Byatarayanapura,Deepanjalinagar,Goripalya,Governmemnt Electric factory",12.9538863,77.5372929
560027,"Sampangiramnagar,Shanthinagar,Wilson Garden",12.9561543,77.5898918
560028,Tyagrajnagar,12.9326856,77.5665353
560029,"Dharmaram College,Taverekere",12.9306311,77.5947419
560030,"Adugodi,Hosur Road",12.9426028,77.604196
560032,"P&t Col. kavalbyrasandra,R T nagar",13.0277975,77.5913428
560033,"Malkand Lines,Mandalay Lines,Maruthi Sevanagar",12.999009,77.6344843
560034,"Agara,Kendriya Sadan,Koramangala,Koramangala I block,St. john's medical college",12.9260083,77.6223318
560036,"Devasandra,Krishnarajapuram",13.0227431,77.6801387
560037,"Doddanekkundi,Kundalahalli,Marathahalli Colony,Rameshnagar,Yemalur",12.9618608,77.6821216
560038,"Indiranagar,Indiranagar Com. complex",12.985224,77.6383312
560039,Nayandahalli,12.9401343,77.5146579
560040,"Chandra Lay out,Vijayanagar,Vijayanagar East",12.9647038,77.5270052
560041,"Jayanagar,Tilaknagar",12.9244803,77.5816347
560042,Sivan Chetty gardens,12.9826453,77.613001
